ROW,REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED_CAPACITY,PROGRAM_GENERATION,ACTUAL_GENERATION
82,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,RAYALASEEMA TPS,1050,638,660.24
83,REG1,17-Mar,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,ROPAR TPS,1260,226,21.36
84,REG1,17-Mar,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,BHAKRA H  P S,1325,329,269.83
85,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,TATA PCL,TROMBAY TPS,1250,518,453.26
86,REG5,17-Mar,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,UMIAM  HPS STI,36,6,3.07
87,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,NATURAL GAS,GSECL,UTRAN CCPP,518,0,20.47
88,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,DIPL,DHARIWAL TPP,600,93,134.67
89,REG4,17-Mar,EASTERN,ORISSA,PVT,THERMAL,COAL,IBPIL,UTKAL TPP(IND BARATH),350,257,0
90,REG4,17-Mar,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPC Ltd.,KAHALGAON TPS,2340,1386,1499.39
91,REG5,17-Mar,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,MYNTDU(LESHKA) St1 HPS,126,5,12.81
92,REG1,17-Mar,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,1200,450,47.85
93,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,RPSCL,ROSA TPP PhI,1200,737,331.4
94,REG1,17-Mar,NORTHERN,PUNJAB,PVT,THERMAL,COAL,NPL,RAJPURA TPP,1400,660,818.06
95,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,ACB,SWASTIK KORBA TPP,25,0,0
96,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,KADAMPARI  HPS.,400,30,33.08
97,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,AURAIYA CCPP,663.36,147,63.62
98,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,BEPL,BARKHERA TPS,90,30,1
99,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,COAL,NTPC Ltd.,MAUDA TPS,2320,268,868.73
100,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,DURGAPUR STEEL TPS,1000,498,604.03
101,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTPL,TUTICORIN (JV) TPP,1000,629,563.22
102,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,ACB,CHAKABURA TPP,30,17,19.2
103,REG4,17-Mar,EASTERN,JHARKHAND,PVT,THERMAL,COAL,MPL,MAITHON RB TPP,1050,601,619.94
104,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,GIPCL,GIPCL. GT IMP,0,14,23.41
105,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,MEL,THAMMINAPATNAM TPS,300,150,159.09
106,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,RattanIndia,NASIK (P) TPS,540,0,0
107,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,GCEL,RAIKHEDA TPP,1370,212,209.49
108,REG5,17-Mar,NORTH EASTERN,ASSAM,CENTRAL,THERMAL,COAL,NTPC Ltd.,BONGAIGAON TPP,500,93,163.92
109,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,GHATGHAR  PSS  HPS,250,35,20.05
110,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,13,14.45
111,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI  EXTN CCPP .,366,0,0
112,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,R P SAGAR  HPS,172,35,44.32
113,REG4,17-Mar,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,UPPER  INDRAVATI  HPS.,600,186,173.42
114,REG2,17-Mar,WESTERN,GUJARAT,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,KAWAS CCPP,656.2,140,210.39
115,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,KHAPARKHEDA TPS,1340,665,539.83
116,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNAIII  HPS,320,59,50.91
117,REG3,17-Mar,SOUTHERN,KARNATAKA,PVT,THERMAL,COAL,JSWEL,TORANGALLU TPS(SBUII),600,387,382.88
118,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTECL,VALLUR TPP,1500,771,950.53
119,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC EXTN. HPS,0,0,0
120,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,VVL,SALORA TPP,135,0,0
121,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,GREL,GREL CCPP (Rajahmundry),768,0,0
122,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,LIGNITE,NLC,NEYVELI NEW TPP,0,NA,0
123,REG1,17-Mar,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,THDC,TEHRI ST1  HPS,1000,242,221.86
124,REG1,17-Mar,NORTHERN,UTTARAKHAND,PVT,HYDRO,HYDRO,JPPVL,VISHNU PRAYAG  HPS,400,56,52.28
125,REG1,17-Mar,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PARICHHA TPS,1140,657,245.82
126,REG4,17-Mar,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,CESC,SOUTHERN REPL. TPS,135,51,29.36
127,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,COAL,GIPCL,SURAT LIG. TPS,500,313,297.22
128,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SURULIYAR  HPS.,35,4,3.76
129,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,BELLARY TPS,1700,834,303.01
130,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,TARAPUR,1400,897,1025.98
131,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,TILLARI  HPS,60,10,7.52
132,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KHATIMA  HPS,41.4,9,11.97
133,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,KONA,KONASEEMA CCPP,445,0,0
134,REG5,17-Mar,NORTH EASTERN,ASSAM,CENTRAL,HYDRO,HYDRO,NEEPCO.,KOPILI  HPS.,225,64,48.86
135,REG5,17-Mar,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,KYRDEMKULAI  HPS.,60,7,2.12
136,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,MANERI BHALI  II  HPS,304,49,42.8
137,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,VAITARNA  HPS,60,27,37.38
138,REG2,17-Mar,WESTERN,CHHATTISGARH,CENTRAL,THERMAL,COAL,NSPCL,BHILAI TPS,500,330,324.61
139,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,NATURAL GAS,WBPDC,HALDIA GT (Liq.),40,0,0
140,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,HAMPI  HPS,36,13,0
141,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,JALDHAKA  HPS STI,36,6,9.41
142,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC   HPS,90,4,0
143,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,NAGARJUN SGR  HPS,815.6,90,12.56
144,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,1500,226,208.84
145,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,NORTH CHENNAI TPS,1830,996,1077.06
146,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,STATE,THERMAL,NATURAL GAS,JKSPDC,PAMPORE GPS (Liq.),175,0,0
147,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,POCHAMPAD  HPS,27,4,9.18
148,REG1,17-Mar,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,PONG H P S,396,62,95.66
149,REG1,17-Mar,NORTHERN,RAJASTHAN,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,RAJASTHAN  A.P.S.,1080,682,748.16
150,REG3,17-Mar,SOUTHERN,TELANGANA,CENTRAL,THERMAL,COAL,NTPC Ltd.,RAMAGUNDEM STPS,2600,1780,1843.09
151,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,RAMMAM  HPS.,50,8,8.85
152,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,NATURAL GAS,TNGDCL,BASIN BRIDGE GT (Liq.),120,0,0.43
153,REG4,17-Mar,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,UPPER KOLAB  HPS.,320,59,81.92
154,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,RAMPUR HPS,412.02,65,55.21
155,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,KUTTIYADI ADDL. EXTN. HPS,100,NA,0.73
156,REG4,17-Mar,EASTERN,ORISSA,STATE,THERMAL,COAL,OPGC,IB VALLEY TPS,420,282,289.94
157,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,PPGCL (Jaypee),PRAYAGRAJ TPP,1320,320,552.84
158,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,SKS,BINJKOTE TPP,0,70,0
159,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,RKMPPL,UCHPINDA TPP,720,204,32.98
160,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERAIII HPS,231,58,0
161,REG4,17-Mar,EASTERN,SIKKIM,PVT,HYDRO,HYDRO,GISL,CHUZACHEN HPS,99,12,11.1
162,REG5,17-Mar,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,NATURAL GAS,NEEPCO.,MONARCHAK CCPP,101,42,45.87
163,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,RattanIndia,AMARAVATI TPS,1350,641,96.87
164,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,MBPMPL,ANUPPUR TPP,1200,421,326.79
165,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,AMARKANTAK EXT TPS,210,146,148.13
166,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHILLA  HPS,144,62,59.22
167,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,DPL,D.P.L. TPS,660,176,183.62
168,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,DADRI (NCTPP),1820,792,483.54
169,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,DHAKRANI  HPS,33.75,12,3.19
170,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,LANCO,PATHADI TPP,600,298,415.18
171,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,VARAHI  HPS,460,95,79.08
