ROW,REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED_CAPACITY,PROGRAM_GENERATION,ACTUAL_GENERATION
228,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHIBRO (YAMUNA)  HPS,240,65,31.65
229,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,KWPCL,AVANTHA BHANDAR,600,51,311.75
230,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APPDCL,DAMODARAM SANJEEVAIAH TPS,1600,708,786.89
231,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,NATURAL GAS,TNGDCL,KUTTALAM CCPP,100,48,31.39
232,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,THERMAL,COAL,DVC,BOKARO `B` TPS,630,177,16.24
233,REG3,17-Mar,SOUTHERN,KERALA,STATE,THERMAL,DIESEL,KSEB,BRAMHAPURAM DG,63.96,3,0.04
234,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA I  HPS,540,165,143.72
235,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA II  HPS,300,80,60.33
236,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,NTPC Ltd.,FARAKKA STPS,2100,1200,1184.8
237,REG1,17-Mar,NORTHERN,HARYANA,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,FARIDABAD CCPP,431.59,97,106.67
238,REG4,17-Mar,EASTERN,JHARKHAND,STATE,HYDRO,HYDRO,JSEB,SUBERNREKHA  HPS.,130,5,0
239,REG5,17-Mar,NORTH EASTERN,ASSAM,CENTRAL,THERMAL,NATURAL GAS,NEEPCO.,KATHALGURI CCPP,291,158,130.64
240,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,PORINGALKUTTU  HPS.,32,8,4.38
241,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,DSPM TPS,500,329,209.05
242,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,BANDEL TPS,450,110,223.47
243,REG4,17-Mar,EASTERN,ORISSA,PVT,THERMAL,COAL,GMR ENERG,KAMALANGA TPS,1050,560,482.65
244,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,NATURAL GAS,GSEGL,HAZIRA CCPP EXT,351,0,28.35
245,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGEII HPS,30,1,0.17
246,REG1,17-Mar,NORTHERN,HARYANA,PVT,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,1320,269,84.25
247,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPPCL,KASHANG INTEGRATED HPS,195,11,4.93
248,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,COAL,ITPCL,ITPCL TPP,1200,154,750.92
249,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,COAL,NTPC Ltd.,SOLAPUR,0,NA,0
250,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,IAEPL,CHANJUI HPS,24,NA,6.39
251,REG4,17-Mar,EASTERN,ORISSA,CENTRAL,THERMAL,COAL,NTPC Ltd.,TALCHER (OLD) TPS,460,290,335.54
252,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBAWEST TPS,1340,682,880.28
253,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNAI  HPS,280,130,56.58
254,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,LOWER SILERU  HPS,460,118,109.77
255,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,NATURAL GAS,PENNA,VALANTARVY CCPP,52.8,0,25.98
256,REG5,17-Mar,NORTH EASTERN,ASSAM,STATE,THERMAL,COAL,APGPCL,CHANDRAPUR(ASSAM) TPS,60,0,0
257,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,GAUTAMI,GAUTAMI CCPP,464,0,0
258,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,GIRAL TPS,250,37,0
259,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,NATURAL GAS,GSEGL,HAZIRA CCPP,156.1,12,0
260,REG1,17-Mar,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135,5,0
261,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,GIPCL,BARODA CCPP,160,17,0
262,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,TUTICORIN TPS,1050,599,385.06
263,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,DLHP,BHANDARDHARA  HPS STII,34,8,15
264,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),UNOSUGEN CCPP,382.5,0,0
265,REG1,17-Mar,NORTHERN,RAJASTHAN,PVT,THERMAL,COAL,APL,KAWAI TPS,1320,763,825.76
266,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,BLAPPL,NIWARI TPP,45,10,25.51
267,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,NATURAL GAS,TATA PCL,TROMBAY CCPP,180,77,137.96
268,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP II,740,0,0.26
269,REG1,17-Mar,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,224,202.75
270,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,HYDRO,HYDRO,NHPC,TEESTA LOW DAMIII HPS,132,25,17.04
271,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,JHAPL,SEIONI TPP,600,123,7.83
272,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,JPPVL,NIGRI TPP,1320,410,360.35
273,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,MCCPL,BANDAKHAR TPP,300,59,217.3
274,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS1  HPS,315,45,100.39
275,REG1,17-Mar,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,1500,570,534.6
276,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,RAGHUNATHPUR TPP,1200,94,191.73
277,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,TATA MAH.,BHIRA PSS  HPS,150,0,41.72
278,REG4,17-Mar,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,HEL,HALDIA TPP,600,314,318.59
279,REG4,17-Mar,EASTERN,ORISSA,PVT,THERMAL,COAL,SEL,STERLITE TPP,1200,661,344.11
280,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,SEPL,SIMHAPURI TPS,600,365,44.93
281,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,VIP,BUTIBORI TPP,600,334,317.68
282,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,THERMAL,COAL,DVC,BOKARO TPS `A` EXP,500,112,208
283,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,BHIRA TAIL RACE  HPS,80,4,6.33
284,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,CHANDRAPUR(MAHARASHTRA) STPS,2920,1477,1298.66
285,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,ENNORE TPS,340,34,0
286,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNAIV  HPS,1000,179,119.38
287,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KALINADI SUPA  HPS,100,58,55.4
288,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNAII  HPS,320,NA,56.58
289,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,MEJIA TPS,2340,1129,1256.57
290,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,NATURAL GAS,ABAN POWR,KARUPPUR CCPP,119.8,45,36.35
291,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SEWAII  HPS,120,86,72.68
292,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,KUTCH LIG. TPS,290,156,132.11
293,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,BEPL,MAQSOODPUR TPS,90,30,1.58
294,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,ACB,KASAIPALLI TPP,270,170,124.53
295,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,COAL,EPGL,SALAYA TPP,1200,456,154.87
296,REG2,17-Mar,WESTERN,MADHYA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,GADARWARA TPP,0,NA,0
297,REG1,17-Mar,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,SHANAN  HPS,110,24,26.34
298,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,SHARAVATHI  HPS,1035,452,518.88
299,REG1,17-Mar,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,TANAKPUR  HPS,94.2,18,16.27
300,REG5,17-Mar,NORTH EASTERN,MEGHALAYA,CENTRAL,HYDRO,HYDRO,NEEPCO.,KHONDONG  HPS.,50,4,4.34
301,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,TATA MAH.,KHOPOLI  HPS,72,20,24.27
302,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBAIII,240,125,105.23
303,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,MADRAS  A.P.S.,440,273,251.29
304,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,NATURAL GAS,TNGDCL,VALUTHUR CCPP,186.2,68,102.89
305,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,VEMAGIRI,VEMAGIRI CCPP,370,0,0
306,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,GANDHI NAGAR TPS,630,204,202.62
307,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,GHAT PRABHA  HPS,32,3,0
308,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,HYDRO,HYDRO,CSPGCL,HASDEOBANGO  HPS,120,10,2.24
309,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,NARORA  A.P.S.,440,278,331.09
310,REG4,17-Mar,EASTERN,ORISSA,PVT,THERMAL,COAL,NALCO,NALCO IMP,0,21,29
311,REG2,17-Mar,WESTERN,MADHYA PRADESH,CENTRAL,HYDRO,HYDRO,NHDC,OMKARESHWAR  HPS,520,84,76.55
312,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PERIYAR  HPS.,161,6,0
313,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PYKARA  HPS.,59.2,6,0
314,REG5,17-Mar,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,RANGANADI  HPS.,405,48,47.81
315,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP III,740,255,402.22
316,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,RIHAND STPS,3000,1857,2075.47
317,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SHRI SINGHAJI TPP,1200,581,99.15
318,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,SPL,SASAN UMTPP,3960,2790,2567.94
319,REG1,17-Mar,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,90,1.7
320,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,NATURAL GAS,MAHAGENCO,URAN CCPP,672,211,319.1
321,REG1,17-Mar,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,COAL,NLC,BARSINGSAR LIGNITE,250,150,156.05
322,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,NATURAL GAS,GPPCL,PIPAVAV CCPP,702,0,0
323,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,JPL,TAMNAR TPP,2400,374,445.18
324,REG5,17-Mar,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,NEW UMTRU HPS,0,6,0
325,REG1,17-Mar,NORTHERN,PUNJAB,PVT,THERMAL,COAL,TSPL,TALWANDI SABO TPP,1980,633,476.78
326,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,KODAYAR  HPS.,100,16,16.33
327,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,BHADRA  HPS,39.2,6,2.74
328,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URIII HPS,240,155,176.61
329,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,UHLIII HPS,0,NA,0
330,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,WPCL,WARDHA WARORA TPP,540,184,90.74
331,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JKSPDC,LOWER JHELUM  HPS,105,70,66.18
332,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,IDUKKI  HPS.,780,265,153.05
333,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,HBPCL,KARCHAM WANGTOO HPS,1000,130,113.43
334,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,MARWA TPS,1000,0,422.05
335,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NTPC Ltd.,KOLDAM HPS,800,95,82.66
336,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,BECL,BHAVNAGAR CFBC TPP,500,90,3.25
337,REG4,17-Mar,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,CESC,BUDGE BUDGE TPS,750,501,490.55
338,REG1,17-Mar,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,DEHAR H P S,990,158,143
339,REG1,17-Mar,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,DHAULI GANGA  HPS,280,33,30.38
340,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,THERMAL,NATURAL GAS,RRVUNL,DHOLPUR CCPP,330,32,0
341,REG4,17-Mar,EASTERN,ANDAMAN NICOBAR,STATE,THERMAL,DIESEL,A&N ADM,AND. NICOBAR DG,40.05,13,21.2
342,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,NATURAL GAS,GSECL,DHUVARAN CCPP,594.72,10,45.26
343,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NLC,NEYVELI TPSII EXP,500,304,76.28
344,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,E.P.P.L.,MALANAII  HPS,100,8,7.69
345,REG3,17-Mar,SOUTHERN,KARNATAKA,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,KAIGA,880,556,571.67
346,REG3,17-Mar,SOUTHERN,PUDUCHERRY,STATE,THERMAL,NATURAL GAS,P&ED Pudu.,KARAIKAL CCPP,32.5,21,21.65
347,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,NATURAL GAS,WBPDC,KASBA GT (Liq.),40,0,0
348,REG3,17-Mar,SOUTHERN,KERALA,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,R. GANDHI CCPP (Liq.),359.58,46,0
349,REG5,17-Mar,NORTH EASTERN,MANIPUR,CENTRAL,HYDRO,HYDRO,NHPC,LOKTAK  HPS.,105,22,33.44
350,REG1,17-Mar,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,920,105,130.49
351,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KALINADI  HPS,855,226,285.99
352,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SABARIGIRI  HPS.,300,159,93.57
353,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,BEPL,KUNDARKI TPS,90,32,0
354,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,EEL,EMCO WARORA TPS,600,332,384.27
355,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,NIMMO BAZGO HPS,45,9,10.67
356,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,GVKP&IL,JEGURUPADU PHASE II CCPP,220,21,0
357,REG5,17-Mar,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,KAMENG HPS,0,NA,0
358,REG5,17-Mar,NORTH EASTERN,MIZORAM,CENTRAL,HYDRO,HYDRO,NEEPCO.,TUIRIAL HPS,0,NA,0
359,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,SAGARDIGHI TPS,1600,286,461.51
360,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,SANJAY  HPS,120,13,14.9
361,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,SARKARPATHY  HPS.,30,12,0
362,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,SIKKA REP. TPS,740,175,306.15
363,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,180,84,67.74
364,REG2,17-Mar,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP I,740,0,0
365,REG2,17-Mar,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBAII,200,79,48.45
366,REG5,17-Mar,NORTH EASTERN,MANIPUR,STATE,THERMAL,DIESEL,ED Manipur,LEIMAKHONG DG,36,0,0
367,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,DIESEL,LVS POWER,LVS POWER DG,36.8,0,0
368,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,MADHIKHERA  HPS,60,6,6.42
369,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,MPCL,MALANA  HPS,86,10,8.4
370,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,APGCL,VIJJESWARAM CCPP,272,59,53.13
371,REG2,17-Mar,WESTERN,MADHYA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,VINDHYACHAL STPS,4760,2852,3321.31
372,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,THERMAL,DIESEL,KPCL,YELHANKA (DG),127.92,0,0
373,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,SPGL,GODAVARI CCPP,208,52,90.61
374,REG1,17-Mar,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,HARDUAGANJ TPS,665,257,192.41
375,REG4,17-Mar,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,HIRAKUD HPS,347.5,51,43.81
376,REG4,17-Mar,EASTERN,ORISSA,PVT,THERMAL,COAL,ICCL,ICCL (IMFA) IMP,0,25,34.35
377,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,IDAMALAYAR  HPS.,75,39,25.19
378,REG1,17-Mar,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,MUKERIAN  HPS,207,82,89.46
379,REG4,17-Mar,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,K.B.U.N.L,MUZAFFARPUR TPS,610,113,67.15
380,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONSIII  HPS,60,0,4.35
381,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,COAL,STCMSECP,NEYVELI TPS(Z),250,158,124.15
382,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,HYDRO,HYDRO,DVC,PANCHET  HPS.,80,2,6.84
383,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,ALIYAR  HPS.,60,8,4.44
384,REG4,17-Mar,EASTERN,SIKKIM,CENTRAL,HYDRO,HYDRO,NHPC,RANGIT HPS,60,15,13.85
385,REG5,17-Mar,NORTH EASTERN,TRIPURA,STATE,THERMAL,NATURAL GAS,TSECL,ROKHIA GT,111,33,29.1
386,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,ALMATTI DPH  HPS,290,9,0.38
387,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,BAKRESWAR TPS,1050,473,667.44
388,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,TRNE,NAWAPARA TPP,300,0,93.56
389,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,SRISAILAM LB  HPS,900,93,43.61
390,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR  TPD HPS,50,5,4.3
391,REG1,17-Mar,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,THDC,KOTESHWAR HPS,400,104,96.04
392,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,METTUR TUNNEL  HPS.,200,1,0
393,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,JSWEL,JSW RATNAGIRI TPP,1200,534,526.37
394,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,SCPL,RATIJA TPS,100,17,64.25
395,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NLC,NEYVELI TPS I,600,372,367.64
396,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,SCCL,SINGARENI TPP,1200,307,776.49
397,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,BHUSAWAL TPS,1420,740,675.17
398,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,THERMAL,COAL,DVC,CHANDRAPURA(DVC) TPS,760,361,444.8
399,REG1,17-Mar,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,ANANDPUR SAHIB HPS,134,66,40.15
400,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,DADRI CCPP,829.78,190,110.85
401,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,DHALIPUR  HPS,51,18,4.86
402,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,DURGAPUR TPS,210,49,99.89
403,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,CHHABRA TPP,1000,432,634.9
404,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,GBHPPL,BUDHIL HPS,70,10,4.78
405,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JKSPDC,BAGLIHAR  HPS,450,172,135.88
406,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SHOLAYAR  HPS.,54,27,23.35
407,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SENGULAM  HPS.,48,11,10.38
408,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,SIVASAMUNDRUM  HPS,42,18,0.59
409,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,IEPL,BELA TPS,270,0,0
410,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,JPPVL,BINA TPS,500,212,128.06
411,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,WPCL,AKALTARA TPS,1200,494,820.19
412,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,PARBATIIII HPS,520,24,15.06
413,REG4,17-Mar,EASTERN,WEST BENGAL,CENTRAL,HYDRO,HYDRO,NHPC,TEESTA LOW DAMIV HPS,160,14,21.6
414,REG2,17-Mar,WESTERN,CHHATTISGARH,CENTRAL,THERMAL,COAL,NTPC Ltd.,LARA TPP,0,0,0
415,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,ACPL,SINGHITARAI TPP,0,0,0
416,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,SGPL,SGPL TPP,1320,0,661.6
417,REG4,17-Mar,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,IEL,INDIA POWER TPP (HALDIA),0,0,0
418,REG4,17-Mar,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NPGCPL,NEW NABI NAGAR TPP,0,NA,0
419,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,DIESEL,SAMALPATI,SAMALPATTI DG,105.7,3,0
420,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,SRISAILAM  HPS,770,88,19.39
421,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,SURATGARH TPS,1500,403,167.1
422,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KODASALI  HPS,120,26,29.97
