"Category","States/UTs","Total/Sector","2007-08 - Hydel","2007-08 - Thermal","2007-08 - Total","2008-09 - Hydel","2008-09 - Thermal","2008-09 - Total","2009-10 - Hydel","2009-10 - Thermal","2009-10 - Total","2010-11 - Hydel","2010-11 - Thermal","2010-11 - Total","2011-12 - Hydel","2011-12 - Thermal","2011-12 - Total","Total (2007-12) - Hydel","Total (2007-12) - Thermal","Total (2007-12) - Total"
"I.States","Karnataka","Total","0.00 ","500.00 ","500.00 ","230.0","0.0","230.0","0.0","600.0","600.0","0.0","850.0","850.0","0.0","1100.0","1100.0","230.0","3050.00 ","3280.00 "
"I.States","Karnataka","State Sector","0.00 ","500.00 ","500.00 ","230.0","0.0","230.0","0.0","0.0","0.0","0.0","250.0","250.0","0.0","500.0","500.0","230.0","1250.00 ","1480.00 "
"I.States","Karnataka","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","1800.00 ","1800.00 "
"I.States","Kerala","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.00 ","100.00 "
"I.States","Kerala","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.00 ","100.00 "
"I.States","Kerala","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Madhya Pradesh","Total","0.00 ","500.00 ","500.00 ","0.0","210.0","210.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","710.00 ","710.00 "
"I.States","Madhya Pradesh","State Sector","0.00 ","500.00 ","500.00 ","0.0","210.0","210.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","710.00 ","710.00 "
"I.States","Madhya Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Maharashtra","Total","0.00 ","250.00 ","250.00 ","250.0","250.0","500.0","0.0","500.0","500.0","0.0","1005.0","1005.0","0.0","2481.0","2481.0","250.0","4486.00 ","4736.00 "
"I.States","Maharashtra","State Sector","0.00 ","250.00 ","250.00 ","250.0","250.0","500.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","1500.0","1500.0","250.0","2500.00 ","2750.00 "
"I.States","Maharashtra","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1005.0","1005.0","0.0","981.0","981.0","0.0","1986.00 ","1986.00 "
